begin_time ET
4470.24 0.037513
4470.27 0.027878
4470.3 0.025771
4470.33 0.025017
4470.35 0.023945
4470.38 0.024507
4470.4 0.023859
4470.43 0.023358
4470.45 0.022412
4470.47 0.022229
4470.49 0.02204
4470.52 0.022245
4470.54 0.021348
4470.56 0.021672
4470.58 0.023985
4470.6 0.021198
4470.63 0.021659
4470.65 0.021939
4470.67 0.020933
4470.69 0.021694
4470.71 0.021726
4470.73 0.021001
4470.75 0.021761
4470.78 0.023288
4470.8 0.02201
4470.82 0.020969
4470.84 0.02164
4470.86 0.021557
4470.89 0.020985
4470.91 0.021499
4470.93 0.02154
4470.95 0.020904
4470.97 0.021509
4470.99 0.021333
4471.01 0.021103
4471.04 0.021566
4471.06 0.021539
4471.08 0.02102
4471.1 0.021487
4471.12 0.021371
4471.14 0.020746
4471.16 0.021645
4471.18 0.021389
4471.21 0.02076
4471.23 0.021245
4471.25 0.021517
4471.27 0.021153
4471.29 0.021162
4471.31 0.021359
4471.33 0.021256
4471.35 0.021135
4471.38 0.021049
4471.4 0.0209
4471.42 0.021002
4471.44 0.021011
4471.46 0.020946
4471.48 0.02097
4471.5 0.020945
4471.52 0.020933
4471.54 0.020998
4471.56 0.020912
4471.59 0.020956
4471.61 0.020856
4471.63 0.020955
4471.65 0.021149
4471.67 0.020846
4471.69 0.020814
4471.71 0.020783
4471.73 0.020797
4471.75 0.020932
4471.77 0.021059
4471.8 0.020872
4471.82 0.020844
4471.84 0.020956
4471.86 0.020792
4471.88 0.020844
4471.9 0.021415
4471.92 0.021445
4471.94 0.020554
4471.96 0.020015
4471.98 0.020091
4472 0.020357
4472.02 0.020198
4472.04 0.019987
4472.06 0.020226
4472.08 0.02079
4472.1 0.020384
4472.13 0.020285
4472.15 0.020839
4472.17 0.020306
4472.19 0.020322
4472.21 0.020436
4472.23 0.020539
4472.25 0.020866
4472.27 0.020591
4472.29 0.020387
4472.31 0.020467
4472.33 0.020525
4472.35 0.020384
4472.37 0.020398
4472.39 0.020882
4472.41 0.020375
4472.43 0.020384
4472.45 0.020382
4472.47 0.020385
4472.49 0.02091
4472.52 0.020344
4472.54 0.020302
4472.56 0.020333
4472.58 0.020479
4472.6 0.020315
4472.62 0.02077
4472.64 0.020457
4472.66 0.020901
4472.68 0.020507
4472.7 0.02055
4472.72 0.020521
4472.74 0.020441
4472.76 0.020337
4472.78 0.020817
4472.8 0.020328
4472.82 0.020458
4472.84 0.020415
4472.86 0.020454
4472.88 0.020274
4472.9 0.020832
4472.93 0.020441
4472.95 0.022606
4472.97 0.023044
4472.99 0.021066
4473.01 0.020924
4473.03 0.021115
4473.05 0.020854
4473.08 0.020805
4473.1 0.021048
4473.12 0.021295
4473.14 0.020948
4473.16 0.021029
4473.18 0.020485
4473.2 0.020905
4473.22 0.020908
4473.24 0.020732
4473.26 0.02089
4473.28 0.021186
4473.31 0.020254
4473.33 0.020925
4473.35 0.020895
4473.37 0.020282
4473.39 0.020852
4473.41 0.020888
4473.43 0.020268
4473.45 0.020796
4473.47 0.020831
4473.49 0.020072
4473.51 0.020724
4473.53 0.0206
4473.55 0.020191
4473.57 0.020617
4473.59 0.020521
4473.61 0.020257
4473.64 0.020626
4473.66 0.020154
4473.68 0.020807
4473.7 0.020866
4473.72 0.020042
4473.74 0.020975
4473.76 0.020896
4473.78 0.020143
4473.8 0.020761
4473.82 0.020655
4473.84 0.020075
4473.86 0.020671
4473.88 0.020683
4473.9 0.020103
4473.92 0.020793
4473.94 0.021264
4473.96 0.020759
4473.99 0.021365
4474.01 0.021244
4474.03 0.020858
4474.05 0.021378
4474.07 0.021532
4474.09 0.02139
4474.11 0.021475
4474.14 0.021348
4474.16 0.021402
4474.18 0.02158
4474.2 0.021398
4474.22 0.021389
4474.24 0.021553
4474.26 0.021448
4474.29 0.020942
4474.31 0.021792
4474.33 0.021446
4474.35 0.020934
4474.37 0.021485
4474.39 0.021728
4474.41 0.020995
4474.43 0.021544
4474.46 0.021319
4474.48 0.021369
4474.5 0.021552
4474.52 0.021535
4474.54 0.020927
4474.56 0.021953
4474.58 0.021435
4474.61 0.020857
4474.63 0.021444
4474.65 0.02146
4474.67 0.021255
4474.69 0.021438
4474.71 0.021411
4474.73 0.020704
4474.76 0.021828
4474.78 0.021341
4474.8 0.020914
4474.82 0.022723
4474.84 0.021824
4474.86 0.020967
4474.88 0.021371
4474.91 0.023103
4474.93 0.020831
4474.95 0.020925
4474.97 0.020755
4474.99 0.021158
4475.01 0.020917
4475.03 0.020839
4475.05 0.020782
4475.08 0.021047
4475.1 0.020937
4475.12 0.02106
4475.14 0.020943
4475.16 0.020913
4475.18 0.020866
4475.2 0.020957
4475.22 0.020891
4475.24 0.02093
4475.26 0.020967
4475.29 0.021059
4475.31 0.020919
4475.33 0.02099
4475.35 0.020953
4475.37 0.020859
4475.39 0.020996
4475.41 0.021022
4475.43 0.020877
4475.45 0.020975
4475.47 0.020919
4475.49 0.020979
4475.52 0.020958
4475.54 0.021095
4475.56 0.021089
4475.58 0.021
4475.6 0.020962
4475.62 0.02098
4475.64 0.020946
4475.66 0.023796
4475.69 0.021087
4475.71 0.021048
4475.73 0.020911
4475.75 0.02093
4475.77 0.021159
4475.79 0.021304
4475.81 0.020991
4475.83 0.021017
4475.86 0.021363
4475.88 0.021051
4475.9 0.021011
4475.92 0.023137
4475.94 0.021304
4475.96 0.021097
4475.98 0.020998
4476.01 0.020914
4476.03 0.020878
4476.05 0.02097
4476.07 0.021391
4476.09 0.020989
4476.11 0.020978
4476.13 0.020982
4476.15 0.021296
4476.17 0.020921
4476.19 0.020969
4476.22 0.020855
4476.24 0.021065
4476.26 0.02123
4476.28 0.020836
4476.3 0.020881
4476.32 0.020817
4476.34 0.021179
4476.36 0.020864
4476.38 0.021836
4476.41 0.022894
4476.43 0.021065
4476.45 0.021152
4476.47 0.020793
4476.49 0.020939
4476.51 0.020925
4476.53 0.021015
4476.55 0.021338
4476.58 0.021018
4476.6 0.022453
4476.62 0.020978
4476.64 0.020954
4476.66 0.02102
4476.68 0.021051
4476.7 0.023143
4476.73 0.021204
4476.75 0.020884
4476.77 0.020789
4476.79 0.022256
4476.81 0.020929
4476.83 0.020823
4476.85 0.020818
4476.87 0.02089
4476.9 0.020879
4476.92 0.023299
4476.94 0.020949
4476.96 0.020897
4476.98 0.020891
4477 0.020968
4477.02 0.020929
4477.04 0.020885
4477.07 0.020854
4477.09 0.020922
4477.11 0.020766
4477.13 0.022362
4477.15 0.020849
4477.17 0.020874
4477.19 0.02085
4477.21 0.020766
4477.23 0.020789
4477.25 0.020816
4477.28 0.02102
4477.3 0.021165
4477.32 0.020984
4477.34 0.020976
4477.36 0.02094
4477.38 0.020853
4477.4 0.021022
4477.42 0.020993
4477.44 0.021082
4477.46 0.021041
4477.49 0.021083
4477.51 0.020998
4477.53 0.021004
4477.55 0.021048
4477.57 0.02098
4477.59 0.020947
4477.61 0.021026
4477.63 0.020937
4477.65 0.020916
4477.67 0.02346
4477.7 0.021171
4477.72 0.021115
4477.74 0.021052
4477.76 0.021325
4477.78 0.021036
4477.8 0.020976
4477.82 0.023871
4477.85 0.020948
4477.87 0.023518
4477.89 0.020986
4477.91 0.021254
4477.94 0.021102
4477.96 0.023734
4477.98 0.021546
4478 0.021049
4478.02 0.022077
4478.04 0.021683
4478.07 0.020852
4478.09 0.02301
4478.11 0.021521
4478.13 0.020821
4478.15 0.021398
4478.17 0.021855
4478.2 0.020928
4478.22 0.0215
4478.24 0.02167
4478.26 0.021679
4478.28 0.021013
4478.3 0.021976
4478.33 0.021624
4478.35 0.020946
4478.37 0.021597
4478.39 0.021808
4478.41 0.02103
4478.43 0.021618
4478.45 0.021985
4478.48 0.02098
4478.5 0.021506
4478.52 0.021382
4478.54 0.021436
4478.56 0.021499
4478.58 0.021084
4478.6 0.02095
4478.62 0.020943
4478.65 0.020815
4478.67 0.020867
4478.69 0.020928
4478.71 0.020878
4478.73 0.021077
4478.75 0.02095
4478.77 0.020976
4478.79 0.021018
4478.81 0.020995
4478.83 0.021009
4478.86 0.020998
4478.88 0.020837
4478.9 0.020784
4478.92 0.020917
4478.94 0.020847
4478.96 0.020851
4478.98 0.021084
4479 0.0209
4479.02 0.020896
4479.04 0.020905
4479.06 0.020827
4479.09 0.020812
4479.11 0.02096
4479.13 0.020959
4479.15 0.02096
4479.17 0.02325
4479.19 0.021115
4479.21 0.02102
4479.23 0.020985
4479.26 0.020988
4479.28 0.020999
4479.3 0.020963
4479.32 0.020943
4479.34 0.021014
4479.36 0.020885
4479.38 0.020938
4479.4 0.020849
4479.42 0.020829
4479.44 0.020938
4479.47 0.021308
4479.49 0.020867
4479.51 0.020894
4479.53 0.020995
4479.55 0.020858
4479.57 0.020816
4479.59 0.021004
4479.61 0.021218
4479.63 0.02086
4479.65 0.020809
4479.67 0.020902
4479.7 0.021097
4479.72 0.021062
4479.74 0.020961
4479.76 0.021398
4479.78 0.021106
4479.8 0.020869
4479.82 0.021149
4479.84 0.020854
4479.86 0.020829
4479.89 0.020856
4479.91 0.021475
4479.93 0.021029
4479.95 0.020959
4479.97 0.021026
4479.99 0.02096
4480.01 0.021178
4480.03 0.020999
4480.05 0.021048
4480.07 0.021404
4480.1 0.021135
4480.12 0.020963
4480.14 0.021199
4480.16 0.020906
4480.18 0.020904
4480.2 0.020889
4480.22 0.020967
4480.24 0.021445
4480.26 0.02094
4480.29 0.020886
4480.31 0.020929
4480.33 0.021367
4480.35 0.021018
4480.37 0.020946
4480.39 0.020988
4480.41 0.021427
4480.43 0.021098
4480.45 0.021007
4480.48 0.021025
4480.5 0.021007
4480.52 0.021388
4480.54 0.021171
4480.56 0.023319
4480.58 0.021099
4480.6 0.021405
4480.63 0.021174
4480.65 0.021596
4480.67 0.022525
4480.69 0.021
4480.71 0.021037
4480.73 0.020995
4480.75 0.020948
4480.78 0.020941
4480.8 0.02144
4480.82 0.020898
4480.84 0.020779
4480.86 0.020759
4480.88 0.020859
4480.9 0.020832
4480.92 0.021099
4480.94 0.020852
4480.96 0.020916
4480.98 0.020782
4481.01 0.021187
4481.03 0.020913
4481.05 0.021046
4481.07 0.020958
4481.09 0.02089
4481.11 0.020982
4481.13 0.02347
4481.16 0.021242
4481.18 0.020989
4481.2 0.020946
4481.22 0.021315
4481.24 0.021048
4481.26 0.022296
4481.28 0.022912
4481.31 0.020465
4481.33 0.020441
4481.35 0.020946
4481.37 0.02037
4481.39 0.020324
4481.41 0.020763
4481.43 0.020417
4481.45 0.020367
4481.47 0.020782
4481.49 0.020795
4481.51 0.020358
4481.53 0.020323
4481.55 0.020749
4481.57 0.020306
4481.59 0.020387
4481.61 0.020824
4481.64 0.020356
4481.66 0.020332
4481.68 0.020382
4481.7 0.020417
4481.72 0.020315
4481.74 0.020392
4481.76 0.020451
4481.78 0.020452
4481.8 0.023879
4481.82 0.020552
4481.84 0.020463
4481.86 0.020389
4481.88 0.020467
4481.9 0.020726
4481.92 0.020334
4481.95 0.020404
4481.97 0.020438
4481.99 0.02048
4482.01 0.020798
4482.03 0.020801
4482.05 0.020357
4482.07 0.020224
4482.09 0.020968
4482.11 0.020382
4482.13 0.02085
4482.15 0.020505
4482.17 0.020785
4482.19 0.020225
4482.21 0.020287
4482.23 0.021166
4482.25 0.020245
4482.27 0.020329
4482.29 0.020351
4482.32 0.020754
4482.34 0.020815
4482.36 0.020525
4482.38 0.020594
4482.4 0.020294
4482.42 0.020353
4482.44 0.020703
4482.46 0.020234
4482.48 0.020515
4482.5 0.02067
4482.52 0.020288
4482.54 0.020276
4482.56 0.020681
4482.58 0.020603
4482.6 0.02037
4482.62 0.021094
4482.64 0.020446
4482.66 0.020274
4482.68 0.020507
4482.71 0.020777
4482.73 0.020286
4482.75 0.020355
4482.77 0.020432
4482.79 0.021027
4482.81 0.020477
4482.83 0.020269
4482.85 0.020412
4482.87 0.020325
4482.89 0.020239
4482.91 0.020313
4482.93 0.022505
4482.95 0.020382
4482.97 0.020302
4482.99 0.020333
4483.01 0.020675
4483.03 0.020259
4483.06 0.02028
4483.08 0.020538
4483.1 0.020436
4483.12 0.020488
4483.14 0.020432
4483.16 0.020262
4483.18 0.020307
4483.2 0.020395
4483.22 0.020336
4483.24 0.020461
4483.26 0.020359
4483.28 0.020245
